PointSliceID,Room,RoomType,ObjecName,BLG,Floor,ReadingType,Alias
41462,410,Office,WATT-CENTER/FC-2.UF-4-1-13.ZN-T,Watt,4th Floor,Temp,410 Temp
45078,410,Office,WATT-CENTER/FC-2.UF-4-1-13.EFFCLG-SP,Watt,4th Floor,Cooling SP,410 Cooling SP
45099,410,Office,WATT-CENTER/FC-2.UF-4-1-13.EFFHTG-SP,Watt,4th Floor,Heating SP,410 Heating SP
8967,300N,Corridor,WATT-CENTER/FC-2.012038FE.EFFCLG-SP,Watt,2nd Floor,Cooling SP,300N Cooling SP
41456,413,Corridor,WATT-CENTER/FC-2.UF-4-1-9.ZN-T,Watt,4th Floor,Temp,413 Temp
45077,413,Corridor,WATT-CENTER/FC-2.UF-4-1-9.EFFCLG-SP,Watt,4th Floor,Cooling SP,413 Cooling SP
45082,413,Corridor,WATT-CENTER/FC-2.UF-4-1-9.EFFHTG-SP,Watt,4th Floor,Heating SP,413 Heating SP
41474,416,Project Room,WATT-CENTER/FC-2.UF-4-1-11.ZN-T,Watt,4th Floor,Temp,416 Temp
45070,416,Project Room,WATT-CENTER/FC-2.UF-4-1-11.EFFCLG-SP,Watt,4th Floor,Cooling SP,416 Cooling SP
45083,416,Project Room,WATT-CENTER/FC-2.UF-4-1-11.EFFHTG-SP,Watt,4th Floor,Heating SP,416 Heating SP
8911,331,Classroom,WATT-CENTER/FC-2.012040FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,331 Cooling SP
8912,331,Classroom,WATT-CENTER/FC-2.012040FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,331 Heating SP
41396,418,Office,WATT-CENTER/FC-2.UF-4-1-1.ZN-T,Watt,4th Floor,Temp,418 Temp
45084,418,Office,WATT-CENTER/FC-2.UF-4-1-1.EFFCLG-SP,Watt,4th Floor,Cooling SP,418 Cooling SP
45087,418,Office,WATT-CENTER/FC-2.UF-4-1-1.EFFHTG-SP,Watt,4th Floor,Heating SP,418 Heating SP
8917,329,Project Room,WATT-CENTER/FC-2.012041FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,329 Cooling SP
8918,329,Project Room,WATT-CENTER/FC-2.012041FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,329 Heating SP
41419,423,Classroom,WATT-CENTER/FC-2.UF-4-1-8.ZN-T,Watt,4th Floor,Temp,423 Temp
45086,423,Classroom,WATT-CENTER/FC-2.UF-4-1-8.EFFCLG-SP,Watt,4th Floor,Cooling SP,423 Cooling SP
45090,423,Classroom,WATT-CENTER/FC-2.UF-4-1-8.EFFHTG-SP,Watt,4th Floor,Heating SP,423 Heating SP
8924,323,Classroom,WATT-CENTER/FC-2.012042FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,323 Cooling SP
8925,323,Classroom,WATT-CENTER/FC-2.012042FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,323 Heating SP
41435,433,Conference Room,WATT-CENTER/FC-2.UF-4-1-6.ZN-T,Watt,4th Floor,Temp,433 Temp
45100,433,Conference Room,WATT-CENTER/FC-2.UF-4-1-6.EFFCLG-SP,Watt,4th Floor,Cooling SP,433 Cooling SP
45081,433,Conference Room,WATT-CENTER/FC-2.UF-4-1-6.EFFHTG-SP,Watt,4th Floor,Heating SP,433 Heating SP
41410,444,Breakroom,WATT-CENTER/FC-2.UF-4-1-4.ZN-T,Watt,4th Floor,Temp,444 Temp
45094,444,Breakroom,WATT-CENTER/FC-2.UF-4-1-4.EFFCLG-SP,Watt,4th Floor,Cooling SP,444 Cooling SP
45098,444,Breakroom,WATT-CENTER/FC-2.UF-4-1-4.EFFHTG-SP,Watt,4th Floor,Heating SP,444 Heating SP
9281,100B,Corridor,WATT-CENTER/FC-1.UF1-2-3.ZN-T,Watt,4th Floor,Temp,100B Temp
8612,100E,Corridor,WATT-CENTER/FC-1.UF1-13.ZN-T,Watt,1st Floor,Temp,100E Temp
8687,100H2,Corridor,WATT-CENTER/FC-1.UF1-16.ZN-T,Watt,1st Floor,Temp,100H2 Temp
9099,316A,Storage,WATT-CENTER/FC-2.012047FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,316A Cooling SP
9162,316A,Storage,WATT-CENTER/FC-2.012047FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,316A Heating SP
8209,100V1,Vestibule,WATT-CENTER/FC-1.UF1-5.ZN-T,Watt,1st Floor,Temp,100V1 Temp
9165,316,Classroom,WATT-CENTER/FC-2.012048FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,316 Cooling SP
9088,316,Classroom,WATT-CENTER/FC-2.012048FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,316 Heating SP
8803,100V2,Vestibule,WATT-CENTER/FC-1.UF1-3.ZN-T,Watt,1st Floor,Temp,100V2 Temp
9138,310,Classroom,WATT-CENTER/FC-2.012049FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,310 Cooling SP
9060,310,Classroom,WATT-CENTER/FC-2.012049FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,310 Heating SP
8802,100V3,Vestibule,WATT-CENTER/FC-1.UF1-1.ZN-T,Watt,1st Floor,Temp,100V3 Temp
8507,116U2,Dataroom,WATT-CENTER/FC-1.FCU-5.ZN-T,Watt,1st Floor,Temp,116U2 Temp
9087,300S,Corridor,WATT-CENTER/FC-2.012051FE.EFFCLG-SP,Watt,2nd Floor,Cooling SP,300S Cooling SP
9133,300S,Corridor,WATT-CENTER/FC-2.012051FE.EFFHTG-SP,Watt,2nd Floor,Heating SP,300S Heating SP
8210,200D,Corridor,WATT-CENTER/FC-2.012008FE.ZN-T,Watt,2nd Floor,Temp,200D Temp
8992,307,Project Room,WATT-CENTER/FC-2.012052FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,307 Cooling SP
8969,307,Project Room,WATT-CENTER/FC-2.012052FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,307 Heating SP
8872,200N,Corridor,WATT-CENTER/FC-2.012022FE.ZN-T,Watt,2nd Floor,Temp,200N Temp
8987,303,Office,WATT-CENTER/FC-2.012053FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,303 Cooling SP
8955,303,Office,WATT-CENTER/FC-2.012053FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,303 Heating SP
8693,200S,Corridor,WATT-CENTER/FC-2.012016FE.ZN-T,Watt,2nd Floor,Temp,200S Temp
9171,301,Office,WATT-CENTER/FC-2.012054FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,301 Cooling SP
9061,301,Office,WATT-CENTER/FC-2.012054FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,301 Heating SP
8660,200SN,Stairwell,WATT-CENTER/FC-2.FCU-2.ZN-T,Watt,2nd Floor,Temp,200SN Temp
8520,200SS,Stairwell,WATT-CENTER/FC-2.FCU-1.ZN-T,Watt,2nd Floor,Temp,200SS Temp
8558,400U,Mechanical Room,WATT-CENTER/FC-2.012058FE.EFFCLG-SP,Watt,4th Floor,Cooling SP,400U Cooling SP
8595,400U,Mechanical Room,WATT-CENTER/FC-2.012058FE.EFFHTG-SP,Watt,4th Floor,Heating SP,400U Heating SP
8825,216B,Comm Studio,WATT-CENTER/FC-2.012020FE.ZN-T,Watt,2nd Floor,Temp,216B Temp
11597,300N,Corridor,WATT-CENTER/FC-2.012038FE.ZN-T,Watt,2nd Floor,Temp,300N Temp
8728,200SS,Stairwell,WATT-CENTER/FC-2.FCU-1.EFFCLG-SP,Watt,2nd Floor,Cooling SP,200SS Cooling SP
8543,200SS,Stairwell,WATT-CENTER/FC-2.FCU-1.EFFHTG-SP,Watt,2nd Floor,Heating SP,200SS Heating SP
9077,300S,Corridor,WATT-CENTER/FC-2.012051FE.ZN-T,Watt,2nd Floor,Temp,300S Temp
8777,200SN,Stairwell,WATT-CENTER/FC-2.FCU-2.EFFCLG-SP,Watt,2nd Floor,Cooling SP,200SN Cooling SP
8588,200SN,Stairwell,WATT-CENTER/FC-2.FCU-2.EFFHTG-SP,Watt,2nd Floor,Heating SP,200SN Heating SP
9069,316A,Storage,WATT-CENTER/FC-2.012047FE.ZN-T,Watt,3rd Floor,Temp,316A Temp
8573,400SS,Stairwell,WATT-CENTER/FC-2.FCU-3.EFFCLG-SP,Watt,4th Floor,Cooling SP,400SS Cooling SP
8605,400SS,Stairwell,WATT-CENTER/FC-2.FCU-3.EFFHTG-SP,Watt,4th Floor,Heating SP,400SS Heating SP
8214,339A,Office,WATT-CENTER/FC-2.012036FE.ZN-T,Watt,3rd Floor,Temp,339A Temp
8560,400SN,Stairwell,WATT-CENTER/FC-2.FCU-4.EFFCLG-SP,Watt,4th Floor,Cooling SP,400SN Cooling SP
8668,400SN,Stairwell,WATT-CENTER/FC-2.FCU-4.EFFHTG-SP,Watt,4th Floor,Heating SP,400SN Heating SP
26853,339B,Office,WATT-CENTER/FC-2.RM-339B UF3-30.ZN-T,Watt,3rd Floor,Temp,339B Temp
9155,339E,Office,WATT-CENTER/FC-2.012034FE.ZN-T,Watt,3rd Floor,Temp,339E Temp
8604,214,Dataroom,WATT-CENTER/FC-2.FCU-6.EFFCLG-SP,Watt,2nd Floor,Cooling SP,214 Cooling SP
8707,214,Dataroom,WATT-CENTER/FC-2.FCU-6.EFFHTG-SP,Watt,2nd Floor,Heating SP,214 Heating SP
9157,339F,Office,WATT-CENTER/FC-2.012035FE.ZN-T,Watt,3rd Floor,Temp,339F Temp
8718,206,Dataroom,WATT-CENTER/FC-2.FCU-7.EFFCLG-SP,Watt,2nd Floor,Cooling SP,206 Cooling SP
8534,206,Dataroom,WATT-CENTER/FC-2.FCU-7.EFFHTG-SP,Watt,2nd Floor,Heating SP,206 Heating SP
9170,339G,Office,WATT-CENTER/FC-2.UF3-10.ZN-T,Watt,3rd Floor,Temp,339G Temp
8561,314,Dataroom,WATT-CENTER/FC-2.FCU-8.EFFCLG-SP,Watt,3rd Floor,Cooling SP,314 Cooling SP
8669,314,Dataroom,WATT-CENTER/FC-2.FCU-8.EFFHTG-SP,Watt,3rd Floor,Heating SP,314 Heating SP
9106,344B,Breakroom,WATT-CENTER/FC-2.012030FE.ZN-T,Watt,3rd Floor,Temp,344B Temp
8736,306,Dataroom,WATT-CENTER/FC-2.FCU-9.EFFCLG-SP,Watt,3rd Floor,Cooling SP,306 Cooling SP
8775,306,Dataroom,WATT-CENTER/FC-2.FCU-9.EFFHTG-SP,Watt,3rd Floor,Heating SP,306 Heating SP
9117,344C,Conference Room,WATT-CENTER/FC-2.012029FE.ZN-T,Watt,3rd Floor,Temp,344C Temp
9065,204,Bathroom,WATT-CENTER/FC-2.RADIANT-2.EFFCLG-SP,Watt,2nd Floor,Cooling SP,204 Cooling SP
9142,204,Bathroom,WATT-CENTER/FC-2.RADIANT-2.EFFHTG-SP,Watt,2nd Floor,Heating SP,204 Heating SP
8213,344E,Office,WATT-CENTER/FC-2.012028FE.ZN-T,Watt,3rd Floor,Temp,344E Temp
9101,304,Bathroom,WATT-CENTER/FC-2.RADIANT-3.EFFCLG-SP,Watt,3rd Floor,Cooling SP,304 Cooling SP
